,date,aum
0,2020-12-01,1000000
0,2020-12-01,995611.8411613728
0,2021-01-01,983030.7669189696
0,2021-02-01,968843.0330572032
0,2021-03-01,942497.0578143871
0,2021-04-01,1017487.6165991907
0,2021-05-01,1030015.368674012
0,2021-06-01,993296.85336815
0,2021-07-01,1041077.6306114293
0,2021-08-01,1022488.3665921118
0,2021-09-01,1032031.5773373238
0,2021-10-01,1004300.1564380731
0,2021-11-01,994370.980242867
0,2021-12-01,986541.8232602667
0,2022-01-01,993464.7617184578
0,2022-02-01,948057.4088457063
0,2022-03-01,967553.9766835248
0,2022-04-01,952149.1620267146
0,2022-05-01,933833.7266114815
0,2022-06-01,896544.5970031301
0,2022-07-01,852299.5881660269
0,2022-08-01,862526.4671751682
0,2022-09-01,862409.9810855526
0,2022-10-01,862339.1038989306
0,2022-11-01,861443.2238708435
0,2022-12-01,855053.212389448
